Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.44580745697021,0,0
0.00500000,-7.53399658203125,0,0
0.01000000,-7.40801239013672,0,0
0.01500000,-7.44580745697021,0,0
0.02000000,-7.55779361724854,0,0
0.02500000,-7.3184232711792,0,0
0.03000000,-7.41501140594482,0,0
0.03500000,-7.5493950843811,0,0
0.04000000,-7.39541387557983,0,0
0.04500000,-7.32262277603149,0,0
0.05000000,-7.62358570098877,0,0
0.05500000,-7.26942920684814,0,0
0.06000000,-7.50320053100586,0,0
0.06500000,-7.56199312210083,0,0
0.07000000,-7.52559757232666,0,0
0.07500000,-7.62218570709229,0,0
0.08000000,-7.42341041564941,0,0
0.08500000,-7.4360089302063,0,0
0.09000000,-7.56759262084961,0,0
0.09500000,-7.41081190109253,0,0
0.10000000,-7.44160795211792,0,0
0.10500000,-7.65578174591064,0,0
0.11000000,-7.61658668518066,0,0
0.11500000,-7.47520399093628,0,0
0.12000000,-7.51579904556274,0,0
0.12500000,-7.62638521194458,0,0
0.13000000,-7.48500299453735,0,0
0.13500000,-7.69917631149292,0,0
0.14000000,-7.51019954681396,0,0
0.14500000,-7.39261436462402,0,0
0.15000000,-7.7047758102417,0,0
0.15500000,-7.61238718032837,0,0
0.16000000,-7.43320941925049,0,0
0.16500000,-7.64038372039795,0,0
0.17000000,-7.35481882095337,0,0
0.17500000,-7.47520399093628,0,0
0.18000000,-7.63618421554565,0,0
0.18500000,-7.42900991439819,0,0
0.19000000,-7.46400547027588,0,0
0.19500000,-7.52419805526733,0,0
0.20000000,-7.7383713722229,0,0
0.20500000,-7.55779361724854,0,0
0.21000000,-7.25823068618774,0,0
0.21500000,-7.52559757232666,0,0
0.22000000,-7.70897531509399,0,0
0.22500000,-7.49200201034546,0,0
0.23000000,-7.47940349578857,0,0
0.23500000,-7.72017383575439,0,0
0.24000000,-7.65438175201416,0,0
0.24500000,-7.53959608078003,0,0
0.25000000,-7.51439905166626,0,0
0.25500000,-7.50320053100586,0,0
0.26000000,-7.67397928237915,0,0
0.26500000,-7.46400547027588,0,0
0.27000000,-7.42900991439819,0,0
0.27500000,-7.77476692199707,0,0
0.28000000,-7.51439905166626,0,0
0.28500000,-7.46400547027588,0,0
0.29000000,-7.47940349578857,0,0
0.29500000,-7.67257976531982,0,0
0.30000000,-7.5605936050415,0,0
0.30500000,-7.46820497512817,0,0
0.31000000,-7.63198471069336,0,0
0.31500000,-7.62078619003296,0,0
0.32000000,-7.48780250549316,0,0
0.32500000,-7.54519557952881,0,0
0.33000000,-7.77616691589356,0,0
0.33500000,-7.45980596542358,0,0
0.34000000,-7.34082078933716,0,0
0.34500000,-7.7159743309021,0,0
0.35000000,-7.61798620223999,0,0
0.35500000,-7.36741733551025,0,0
0.36000000,-7.80556344985962,0,0
0.36500000,-7.52139854431152,0,0
0.37000000,-7.48500299453735,0,0
0.37500000,-7.5759916305542,0,0
0.38000000,-7.46120595932007,0,0
0.38500000,-7.32682228088379,0,0
0.39000000,-7.50040102005005,0,0
0.39500000,-7.60678768157959,0,0
0.40000000,-7.64598274230957,0,0
0.40500000,-7.64458322525024,0,0
0.41000000,-7.39541387557983,0,0
0.41500000,-7.64598274230957,0,0
0.42000000,-7.50740003585815,0,0
0.42500000,-7.431809425354,0,0
0.43000000,-7.65578174591064,0,0
0.43500000,-7.75236988067627,0,0
0.44000000,-7.39681386947632,0,0
0.44500000,-7.52139854431152,0,0
0.45000000,-7.60818767547607,0,0
0.45500000,-7.4430079460144,0,0
0.46000000,-7.48920249938965,0,0
0.46500000,-7.56199312210083,0,0
0.47000000,-7.54379558563232,0,0
0.47500000,-7.76636791229248,0,0
0.48000000,-7.39261436462402,0,0
0.48500000,-7.52839756011963,0,0
0.49000000,-7.71877384185791,0,0
0.49500000,-7.42201042175293,0,0
0.50000000,-7.63058471679688,0,0
0.50500000,-7.74817037582397,0,0
0.51000000,-7.36461782455444,0,0
0.51500000,-7.55639410018921,0,0
0.52000000,-7.82516098022461,0,0
0.52500000,-7.57459163665772,0,0
0.53000000,-7.53539657592773,0,0
0.53500000,-7.63058471679688,0,0
0.54000000,-7.61238718032837,0,0
0.54500000,-7.48500299453735,0,0
0.55000000,-7.64598274230957,0,0
0.55500000,-7.57039213180542,0,0
0.56000000,-7.62638521194458,0,0
0.56500000,-7.53959608078003,0,0
0.57000000,-7.51719903945923,0,0
0.57500000,-7.64878273010254,0,0
0.58000000,-7.65438175201416,0,0
0.58500000,-7.48500299453735,0,0
0.59000000,-7.67677927017212,0,0
0.59500000,-7.67677927017212,0,0
0.60000000,-7.45560646057129,0,0
0.60500000,-7.30162525177002,0,0
0.61000000,-7.58439064025879,0,0
0.61500000,-7.7271728515625,0,0
0.62000000,-7.50040102005005,0,0
0.62500000,-7.47100448608398,0,0
0.63000000,-7.53539657592773,0,0
0.63500000,-7.73277235031128,0,0
0.64000000,-7.51019954681396,0,0
0.64500000,-7.65438175201416,0,0
0.65000000,-7.66698026657105,0,0
0.65500000,-7.53819608688354,0,0
0.66000000,-7.48220300674439,0,0
0.66500000,-7.76916790008545,0,0
0.67000000,-7.54379558563232,0,0
0.67500000,-7.36321783065796,0,0
0.68000000,-7.60818767547607,0,0
0.68500000,-7.76496839523315,0,0
0.69000000,-7.52979707717896,0,0
0.69500000,-7.71037483215332,0,0
0.70000000,-7.58019113540649,0,0
0.70500000,-7.52559757232666,0,0
0.71000000,-7.63198471069336,0,0
0.71500000,-7.74677038192749,0,0
0.72000000,-7.63198471069336,0,0
0.72500000,-7.48920249938965,0,0
0.73000000,-7.38561487197876,0,0
0.73500000,-7.80556344985962,0,0
0.74000000,-7.68237829208374,0,0
0.74500000,-7.54379558563232,0,0
0.75000000,-7.47940349578857,0,0
0.75500000,-7.53959608078003,0,0
0.76000000,-7.51999855041504,0,0
0.76500000,-7.71037483215332,0,0
0.77000000,-7.65578174591064,0,0
0.77500000,-7.55219459533691,0,0
0.78000000,-7.62638521194458,0,0
0.78500000,-7.59558916091919,0,0
0.79000000,-7.72437334060669,0,0
0.79500000,-7.51159954071045,0,0
0.80000000,-7.36881732940674,0,0
0.80500000,-7.63758420944214,0,0
0.81000000,-7.72857284545898,0,0
0.81500000,-7.4248104095459,0,0
0.82000000,-7.49200201034546,0,0
0.82500000,-7.60678768157959,0,0
0.83000000,-7.54519557952881,0,0
0.83500000,-7.49620151519775,0,0
0.84000000,-7.62358570098877,0,0
0.84500000,-7.40801239013672,0,0
0.85000000,-7.56199312210083,0,0
0.85500000,-7.64178323745727,0,0
0.86000000,-7.43320941925049,0,0
0.86500000,-7.64878273010254,0,0
0.87000000,-7.66838026046753,0,0
0.87500000,-7.62358570098877,0,0
0.88000000,-7.35481882095337,0,0
0.88500000,-7.57739162445068,0,0
0.89000000,-7.68377828598022,0,0
0.89500000,-7.35481882095337,0,0
0.90000000,-7.68237829208374,0,0
0.90500000,-7.49620151519775,0,0
0.91000000,-7.56339311599731,0,0
0.91500000,-7.69077730178833,0,0
0.92000000,-7.55219459533691,0,0
0.92500000,-7.56199312210083,0,0
0.93000000,-7.53819608688354,0,0
0.93500000,-7.32262277603149,0,0
0.94000000,-7.47100448608398,0,0
0.94500000,-7.53959608078003,0,0
0.95000000,-7.36461782455444,0,0
0.95500000,-7.5605936050415,0,0
0.96000000,-7.47100448608398,0,0
0.96500000,-7.40801239013672,0,0
0.97000000,-7.69077730178833,0,0
0.97500000,-7.50740003585815,0,0
0.98000000,-7.61658668518066,0,0
0.98500000,-7.55219459533691,0,0
0.99000000,-7.31282424926758,0,0
0.99500000,-7.47100448608398,0,0
1.00000000,-7.55359411239624,0,0
1.00500000,-7.58159112930298,0,0
1.01000000,-7.36321783065796,0,0
1.01500000,-7.63198471069336,0,0
1.02000000,-7.48500299453735,0,0
1.02500000,-7.52419805526733,0,0
1.03000000,-7.4430079460144,0,0
1.03500000,-7.4738039970398,0,0
1.04000000,-7.78036642074585,0,0
1.04500000,-7.52139854431152,0,0
1.05000000,-7.46820497512817,0,0
1.05500000,-7.72857284545898,0,0
1.06000000,-7.68377828598022,0,0
1.06500000,-7.49620151519775,0,0
1.07000000,-7.58439064025879,0,0
1.07500000,-7.31702375411987,0,0
1.08000000,-7.64178323745727,0,0
1.08500000,-7.50040102005005,0,0
1.09000000,-7.62218570709229,0,0
1.09500000,-7.60258817672729,0,0
1.10000000,-7.38701486587524,0,0
1.10500000,-7.55779361724854,0,0
1.11000000,-7.63618421554565,0,0
1.11500000,-7.58579015731812,0,0
1.12000000,-7.46540546417236,0,0
1.12500000,-7.50320053100586,0,0
1.13000000,-7.65438175201416,0,0
1.13500000,-7.598388671875,0,0
1.14000000,-7.62078619003296,0,0
1.14500000,-7.46820497512817,0,0
1.15000000,-7.41781091690063,0,0
1.15500000,-7.56339311599731,0,0
